work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,EX,FT,CLOUD SECURITY ENGINEERING MANAGER,50000,USD,50000,CL,100,CL,M
2022,EN,FT,APPLICATION SECURITY ANALYST,50000,EUR,54129,CH,50,CH,M
2022,EN,FT,DATA SECURITY ANALYST,50000,USD,50000,US,100,US,L
2022,MI,FT,DETECTION ENGINEER,40000,EUR,43303,ES,50,ES,L
2022,SE,FT,SECURITY SPECIALIST,238200,USD,238200,US,100,US,L
2022,SE,FT,SECURITY SPECIALIST,176100,USD,176100,US,100,US,L
2022,SE,FT,SECURITY ENGINEER,181940,USD,181940,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,132000,USD,132000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,186000,USD,186000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,148800,USD,148800,US,100,US,M
2022,SE,FT,DETECTION ENGINEER,252000,USD,252000,US,100,US,M
2022,SE,FT,DETECTION ENGINEER,145000,USD,145000,US,100,US,M
2022,EX,FT,CHIEF INFORMATION SECURITY OFFICER,236000,USD,236000,US,100,US,L
2021,EN,FT,CYBER SECURITY ANALYST,15240,SGD,8929,SG,0,SG,M
2022,SE,FT,PRINCIPAL SECURITY ENGINEER,167000,USD,167000,US,100,US,M
2022,EX,FT,HEAD OF INFORMATION SECURITY,175000,USD,175000,US,100,US,M
2022,EN,FT,IT SECURITY ANALYST,70000,AUD,50002,AU,50,AU,L
2022,MI,FT,INFORMATION SYSTEMS SECURITY ENGINEER,86500,USD,86500,US,50,US,L
2022,MI,FT,STAFF APPLICATION SECURITY ENGINEER,120000,EUR,129910,FR,50,FR,L
2022,SE,FT,SECURITY ENGINEER,200100,USD,200100,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,160080,USD,160080,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,165400,USD,165400,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,132320,USD,132320,US,100,US,M
2022,SE,FT,SECURITY SPECIALIST,207800,USD,207800,US,100,US,L
2022,SE,FT,SECURITY SPECIALIST,153600,USD,153600,US,100,US,L
2021,EN,FT,INFORMATION SECURITY ENGINEER,25000,EUR,29551,IT,100,IT,S
2021,MI,FT,INFORMATION SECURITY ANALYST,88000,USD,88000,US,100,US,L
2022,EX,FT,INFORMATION SECURITY COMPLIANCE MANAGER,180000,USD,180000,US,100,US,L
2022,SE,FT,SECURITY ENGINEER,210000,USD,210000,CA,100,CA,M
2022,SE,FT,SECURITY ENGINEER,160000,USD,160000,CA,100,CA,M
2022,SE,FT,VULNERABILITY MANAGEMENT ENGINEER,250600,USD,250600,US,100,US,M
2022,SE,FT,VULNERABILITY MANAGEMENT ENGINEER,118100,USD,118100,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,105800,USD,105800,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,81600,USD,81600,US,100,US,M
2022,EN,FT,SECURITY ANALYST,140000,USD,140000,US,100,US,L
2022,SE,FT,INFORMATION SECURITY OFFICER,267840,USD,267840,US,100,US,M
2022,SE,FT,INFORMATION SECURITY OFFICER,214056,USD,214056,US,100,US,M
2022,SE,FT,SECURITY RESEARCHER,240000,CAD,188282,CA,100,US,L
2022,MI,FT,HEAD OF INFORMATION SECURITY,107000,GBP,137290,GB,100,GB,M
2022,MI,FT,HEAD OF INFORMATION SECURITY,92000,GBP,118043,GB,100,GB,M
2022,EN,CT,CYBER SECURITY ANALYST,80000,USD,80000,US,100,US,L
2022,EN,CT,CYBER SECURITY ANALYST,60000,USD,60000,US,100,US,L
2022,EN,FT,CYBER SECURITY ANALYST,60000,USD,60000,US,100,US,L
2022,EN,FT,AZURE SECURITY ENGINEER,60000,USD,60000,US,100,US,L
2022,EN,FT,AZURE SECURITY ENGINEER,60000,USD,60000,US,100,US,S
2021,EN,FT,CYBER SECURITY ANALYST,115000,USD,115000,US,100,US,M
2021,EN,FT,SECURITY CONSULTANT,750000,INR,10142,IN,50,IN,L
2022,MI,FT,SECURITY OPERATIONS ANALYST,80000,GBP,102646,GB,100,GB,M
2022,MI,FT,SECURITY OPERATIONS ANALYST,55000,GBP,70569,GB,100,GB,M
2022,MI,FT,SECURITY ENGINEER,170000,USD,170000,AU,0,AU,M
2022,MI,FT,SECURITY ENGINEER,140000,USD,140000,AU,0,AU,M
2022,SE,FT,CYBER SECURITY ENGINEER,175000,USD,175000,US,0,US,S
2022,EX,FT,DIRECTOR OF INFORMATION SECURITY,180000,USD,180000,US,100,US,L
2022,MI,FT,INFORMATION SECURITY ENGINEER,101000,USD,101000,US,100,US,L
2022,MI,FT,IT SECURITY ENGINEER,101000,USD,101000,US,100,US,L
2022,SE,FT,DEVOPS SECURITY ENGINEER,175000,USD,175000,US,100,US,L
2022,MI,FT,CYBER SECURITY ANALYST,97500,USD,97500,US,100,US,L
2022,EN,FT,CYBER SECURITY ANALYST,67000,USD,67000,US,100,US,L
2022,SE,FT,SECURITY ENGINEER,124600,USD,124600,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,96000,USD,96000,US,100,US,M
2022,SE,FT,DETECTION ENGINEER,292000,USD,292000,GB,100,GB,M
2022,SE,FT,DETECTION ENGINEER,170000,USD,170000,GB,100,GB,M
2022,MI,FT,SECURITY ENGINEER,160000,USD,160000,AU,0,AU,M
2022,SE,FT,PENETRATION TESTER,180000,USD,180000,US,100,US,M
2022,SE,FT,PENETRATION TESTER,140000,USD,140000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,245000,USD,245000,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,190000,USD,190000,US,0,US,M
2022,EN,FT,SECURITY ANALYST,63000,CAD,49424,CA,100,CA,S
2022,EN,FT,SOC ANALYST,91600,USD,91600,US,100,US,L
2022,MI,FT,CLOUD SECURITY ENGINEER,165000,USD,165000,US,50,US,L
2022,SE,FT,SECURITY SPECIALIST,160000,USD,160000,US,100,US,L
2022,SE,FT,SECURITY SPECIALIST,92400,USD,92400,US,100,US,L
2022,SE,FT,THREAT INTELLIGENCE ANALYST,103000,USD,103000,US,100,US,L
2022,SE,FT,SECURITY ENGINEER,154000,USD,154000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,139000,USD,139000,US,100,US,M
2022,EX,FT,SECURITY OFFICER,160000,USD,160000,US,100,US,M
2022,EX,FT,SECURITY OFFICER,120000,USD,120000,US,100,US,M
2022,MI,FT,PENETRATION TESTER,50000,GBP,64154,GB,50,GB,M
2022,SE,FT,SECURITY ENGINEER,82900,USD,82900,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,63900,USD,63900,US,100,US,M
2022,EN,FT,SOC ANALYST,75000,USD,75000,US,100,US,L
2022,MI,FT,SECURITY ANALYST,89000,USD,89000,US,0,US,L
2022,MI,FT,SECURITY ANALYST,68462,USD,68462,US,0,US,L
2022,MI,FT,SECURITY ENGINEER,72500,USD,72500,US,100,JP,L
2022,SE,FT,SECURITY ENGINEER,276900,USD,276900,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,168400,USD,168400,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,105800,USD,105800,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,81600,USD,81600,US,0,US,M
2022,SE,FT,SECURITY SPECIALIST,177600,USD,177600,US,100,US,L
2022,SE,FT,SECURITY SPECIALIST,131300,USD,131300,US,100,US,L
2022,SE,FT,SECURITY ENGINEER,120000,USD,120000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,90000,USD,90000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,145000,USD,145000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,105400,USD,105400,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,220000,USD,220000,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,140000,USD,140000,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,175000,USD,175000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,130000,USD,130000,US,100,US,M
2022,EN,PT,SECURITY CONSULTANT,20000,EUR,21651,DE,100,DE,M
2022,SE,FT,APPLICATION SECURITY ENGINEER,60000,USD,60000,PK,100,US,M
2022,EN,PT,PENETRATION TESTER,80000,USD,80000,IN,100,US,L
2022,MI,FT,DETECTION ENGINEER,200100,USD,200100,US,100,US,M
2022,MI,FT,DETECTION ENGINEER,160080,USD,160080,US,100,US,M
2022,MI,FT,SECURITY CONSULTANT,135000,USD,135000,US,100,US,M
2022,MI,FT,SECURITY CONSULTANT,100000,USD,100000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,195000,USD,195000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,170000,USD,170000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,108070,USD,108070,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,91860,USD,91860,US,100,US,M
2022,MI,FT,SECURITY ANALYST,102600,USD,102600,US,100,US,M
2022,MI,FT,SECURITY ANALYST,82080,USD,82080,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,160000,USD,160000,US,0,US,M
2022,MI,FT,SECURITY ENGINEER,110000,USD,110000,US,0,US,M
2022,MI,FT,SECURITY ENGINEER,140000,EUR,151562,FR,100,FR,M
2022,MI,FT,SECURITY ENGINEER,100000,EUR,108258,FR,100,FR,M
2022,MI,FT,IT SECURITY MANAGER,120000,EUR,129910,FR,100,FR,M
2022,MI,FT,IT SECURITY MANAGER,80000,EUR,86607,FR,100,FR,M
2022,MI,FT,SECURITY ENGINEER,180000,EUR,194866,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,140000,EUR,151562,US,100,US,M
2022,EX,FT,INFORMATION SECURITY OFFICER,240000,EUR,259821,US,100,US,M
2022,EX,FT,INFORMATION SECURITY OFFICER,180000,EUR,194866,US,100,US,M
2022,MI,FT,SECURITY ANALYST,193800,USD,193800,US,100,US,M
2022,MI,FT,SECURITY ANALYST,62000,USD,62000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,160000,USD,160000,US,100,US,L
2022,SE,FT,SECURITY ENGINEER,120000,USD,120000,US,100,US,L
2022,SE,FT,SECURITY ENGINEER,192400,USD,192400,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,90700,USD,90700,US,100,US,M
2022,SE,FT,SECURITY ANALYST,150260,USD,150260,US,100,US,M
2022,SE,FT,SECURITY ANALYST,109280,USD,109280,US,100,US,M
2022,SE,FT,PENETRATION TESTER,175000,USD,175000,US,0,US,M
2022,SE,FT,PENETRATION TESTER,90000,USD,90000,US,0,US,M
2022,SE,FT,SECURITY DEVOPS ENGINEER,130200,USD,130200,US,100,US,M
2022,SE,FT,SECURITY DEVOPS ENGINEER,106500,USD,106500,US,100,US,M
2022,SE,FT,SECURITY SPECIALIST,146800,USD,146800,US,100,US,M
2022,SE,FT,SECURITY SPECIALIST,118200,USD,118200,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,165200,USD,165200,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,133000,USD,133000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,146800,USD,146800,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,118200,USD,118200,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,115700,USD,115700,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,94700,USD,94700,US,100,US,M
